Course_Identification,Title_Long_Description,Course_Description
MATHB142,Calculus II,"(Prereq: qualification through placement or a grade of C or better in MATH B141) Techniques of integration, applications of the integral, L?Hospital?s Rule, improper integrals; sequences and series of real numbers, power and Taylor series, introduction to polar coordinates.  "
MATHB170,Finite Mathematics,"(Prereq: qualification through placement or a grade of C or better in BMTH 111, 111L, or 115) Elementary matrix theory; systems of linear equations; permutations and combinations; probability and Markov chains; linear programming and game theory."
MATHB172,Mathematical Modeling for the Life Sciences,"Modeling with difference equations; vectors, trigonometry, polar coordinates, matrices, eigenvalues and eigenvectors; addition and multiplication in combinatorics, permutations, combinations, introduction to probability theory (discrete, continuous); techniques of integration, symmetry. Credit may not be received for both BMTH 172 and either BMTH 170 or 174."
MATHB174,Discrete Mathematics for Computer Science,"(Prereq: qualification through placement or a grade of C or better in BMTH 115) Induction, complexity, elementary counting, combinations and permutations, recursion and recurrence relations, graphs and trees; discussion of the design and analysis of algorithms? with emphasis on sorting and searching."
MATHB221,Basic Concepts of Elementary Mathematics,"(Prerequisite: Qualification through placement or a grade of C or better in MATH B111, B111L, or B115) The meaning of number, fudametal opertions of arithmetic, the structure of the real number system and its subsyems, elementary number theory. Open only to students in elementary or early childhood teacher certification."
MATHB222,Basic Concepts of Elementary Mathematics II,(Prereq: MATH B221) Informal geometry and basic concepts of algebra. Open only to students in elementary or early childhood teacher certification.
MATHB230,Linear Algebra,"(Prereq: MATH B141 or consent of instructor) Linear systems and matrices, vector spaces, linear independence, rank of a matrix, linear transformations, determinants, introduction to eigenvalues and eigenvectors, diagonalization and applications."
MATHB240,Calculus III,"(Prereq: qualification through placement or a grade of C or better in MATH B142) Parametric equations, polar coordinates, three dimensional analytic geometry, cylindrical and spherical coordinates, vector functions, functions of several variables, partial differentiation, max-min, Lagrange multipliers, multiple integrals and applications, integral vector calculus."
MATHB242,Elementary Differential Equations,"(Prereq: qualification through placement or a grade of C or better in BMTH 142) Ordinary differential equations of first order, higher order linear equations, Laplace transform methods, series methods; numerical solution of differential equations. Applications to physical sciences and engineering."
MATHB280,Computational Mathematics,"{=BCSE 280} (Prereq: BMTH 142 and BCSE 104 or consent of instructor) Fundamental concepts selected from linear algebra and differential equations applicable to Computational Science. Major topics include systems of linear equations, diagonalization, and numerical solutions to differential equations. The focus is on computational methods and programming skills that will be implemented in a variety of science and engineering disciplines."
MATHB300,Introduction to Proof,"(Prerequisite: Grade of 'C' or better in MATH B142) Introduction to the language and nature of reasoning, structure, and technique as they apply to advanced mathematics and proofs. Topics include logic, set theory, cardinality, and methods of proof (including induction)."
