CourseID,CourseNumber,Title,MinCreditHours,MaxCreditHours,CourseDescription,GradeType,Course_type,SubjectID
386,B450,"Ethical Decision-Making, Legal",3,NULL,"(Prerequisite: NURS B202 or B301) This course examines legal and ethical issues in healthcare and how they influence health policy. Students study legal principles governing professional nursing practice and explore frameworks to support ethical decision-making across the continuum of care. The nurse's role in healthcare policy development, implementation and analysis are explored, particularly as it relates to legal and ethical issues affecting practice. Students explore current legal/ethical issues and existing health policies, with an emphasis on how these issues impact access to, and delivery of healthcare services to vulnerable populations.",Standard Letter,Lecture,51
387,B318,Ethical Hacking,3,NULL,"(Prerequisite: ISAT B201) Introduction to the principles and techniques associated with the cybersecurity practice known as penetration testing or ethical hacking. The course covers planning, reconnaissance, scanning, exploitation, post-exploitation, and result reporting. The student discovers how system vulnerabilities can be exploited and learns to avoid such problems.",Standard Letter,Lecture,39
388,B311,Ethics,3,NULL,"A study of the moral principles of conduct and the basic concepts underlying these principles, such as good, evil, right, wrong, justice, value, duty and obligation. The ethical works of influential philosophers are analyzed in terms of these concepts.",Standard Letter,Lecture,53
389,B102,Euro Civ from the Mid-17th Cen,3,NULL,European development and expansion from the mid- 17th century to the present.,Standard Letter,Lecture,33
390,B101,Euro Civ to Mid 17th Century,3,NULL,The rise and development of European civilization from its Mediterranean origins through the Renaissance and Reformation.,Standard Letter,Lecture,33
391,B318,Euro World War II to Present,3,NULL,The Second World War and its origins; the Cold War; European recovery; a divided continent and Europe in the Global Era.,Standard Letter,Lecture,33
392,B240,Event Promotion,3,NULL,"This course provides an overview of marketing, promotion, and sponsorship strategies for events both large and small and teaches students the techniques to accomplish the strategies.",Standard Letter,Lecture,36
393,B410,Examining Health Inequalities,3,NULL,(Prerequisite: PUBH B310) This course is designed to examine health disparities and associated social determinants of health in the U.S. Also included is an exploration of multi-level intervention strategies for reducing health disparities.,Standard Letter,Lecture,57
394,B410,Examining Health Inequalities,NULL,NULL,NULL,NULL,NULL,35
395,B320,Existentialism,3,NULL,"An introduction to existentialist themes in contemporary philosophy, literature, psychology and religion. The writings of existentialists such as Kierkegaard, Nietzsche, Camus, Sartre, Buber, May and Binswanger will be read and discussed.",Standard Letter,Lecture,53
396,B101,Experiential Mathematics,3,NULL,"(Prerequisite: Mathematics Placement Exam and two years of high school algebra or equivalent) Mathematics application and appreciation in algebra, geometry, probability and statistics. Modeling and computation in practical applications. Foundational topics are chosen from: Number and Measurement Systems, Symbolic Relationships, Data Description or Analysis, Geometry, Uncertainty, Reasoning, and the Mathematics of Finance. This course serves as a prerequisite for no other MATH courses. Offered every semester.",Standard Letter,Lecture,44
397,B101,Experiential Mathematics,NULL,NULL,NULL,NULL,NULL,45
398,B150,Explore Nurs/Health Profession,NULL,NULL,NULL,NULL,NULL,65
399,B390,Family Communication,3,NULL,"A basic introduction to the study of how communication is used in the family to develop, maintain, enhance or disturb marital and family relationships.",Standard Letter,Lecture,11
400,B351,Family Cross-Cult Perspective,3,NULL,"Kinship, systems of descent, marriage and domestic organization in different cultures. Variations in childrearing practices, sex roles and other aspects of social relations in kin groups. (Satisfies USCB General Education Global Citizenship and Multicultural Understanding Requirement).",Standard Letter,Lecture,3
401,B345,Family Life in Early Childhood,3,NULL,"(Prerequisite: PSYC B209 or PSYC B321; Admission to the Professional Program in Education or consent of the Department Chair) Principles, practices and content of family life and family-school relations as related to young children s learning and development in various settings during the early childhood years, birth through eight. This course will provide a foundation for using family life knowledge in relating to young children and families in effective ways.",Standard Letter,Lecture,17
402,B345,Festival Community Event Plann,3,NULL,"This course provides an overview of planning, producing, and managing community oriented special events.",Standard Letter,Lecture,36
403,B465,Fiction Workshop,3,NULL,May be repeated with consent of instructor for a maximum of 6 credit hours.,Standard Letter,Lecture,26
404,B390,Field Experience in Health Pro,NULL,NULL,NULL,NULL,NULL,35
405,B390,Field Experience Public Health,3,NULL,(Prerequisite: PUBH B310 and Junior Status) A period of introductory work-related education that allows students to reinforce classroom learning while gaining practical experience in a supervised setting where public health principles are applied.,Standard Letter,Field Study,57
406,B390,Field Experience Public Health,3,NULL,(Prerequisite: PUBH B310 and Junior Status) A period of introductory work-related education that allows students to reinforce classroom learning while gaining practical experience in a supervised setting where public health principles are applied.,Standard Letter,Lecture,57
407,B390,Field Experience Public Health,3,NULL,(Prerequisite: PUBH B310 and Junior Status) A period of introductory work-related education that allows students to reinforce classroom learning while gaining practical experience in a supervised setting where public health principles are applied.,Standard Letter,Practicum,57
408,B232,Figure Structure I,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B112 or consent of instructor) The structural nature of figure, with emphasis on the translation of form in space onto a two-dimensional surface.",Standard Letter,Lecture,6
409,B232,Figure Structure I,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B112 or consent of instructor) The structural nature of figure, with emphasis on the translation of form in space onto a two-dimensional surface.",Standard Letter,Studio / PE Course,6
410,B233,Figure Structure II,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B232 or consent of instructor) Continuation of ARTS B232 with increased emphasis on anatomy.",Standard Letter,Lecture,6
411,B421,Finance & Revenue Management,3,NULL,"Analytical skill building with a focus on revenue optimization, forecasting, strategic pricing, and distribution channel management. Students will practice using key ratios and other benchmarking indicators for evaluation of financial health for hospitality organizations.",Standard Letter,Lecture,36
412,B364,Financial Institutions,3,NULL,"(Prerequisites: ECON B221, B222) A study of the functions and operations of financial institutions and their relationships to the commercial banking system and the general economy. Attention is devoted to savings institutions, insurance companies, rural and urban real estate credit, consumer credit and associated topics.",Standard Letter,Lecture,15
